data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
01/01/2010;15:53:00;48;com vítima;119,5;BR-116/PR;Sul;Colisão Transversal;2;;;;;;;;;;4;5;;;
01/01/2010;19:46:00;63;com vítima;124,80000305175781;BR-116/PR;Norte;Choque - Elemento de Drenagem;1;;;;;;;;;;4;3;;;
01/01/2010;01:39:00;9;com vítima;127,80000305175781;BR-116/PR;Norte;Colisão Frontal;2;;;;;;;;;;1;2;1;1;2
01/01/2010;00:03:00;1;com vítima;130,8000030517578;BR-116/SC;Norte;Saida de Pista;1;;;;;;;;;;0;1;;;
01/01/2010;00:55:00;7;com vítima;145,5;BR-116/PR;Sul;Colisão Lateral;2;;;;;;;;;;5;1;;;
02/01/2010;20:19:00;132;sem vítima;72;BR-116/SC;Sul;Objeto lançado contra veículo;1;;;;;;;;;;1;;;;
02/01/2010;20:28:00;136;sem vítima;72;BR-116/SC;Sul;Objeto lançado contra veículo;1;;;;;;;;;;3;;;;
02/01/2010;21:28:00;141;sem vítima;94;BR-116/SC;Norte;Objeto lançado contra veículo;;;;;;;;;;1;3;;;;
02/01/2010;18:16:00;125;com vítima;122,4000015258789;BR-116/PR;Norte;Colisão Transversal;1;;;;;;;;;1;5;1;;;
02/01/2010;23:59:00;151;sem vítima;140;BR-116/SC;Sul;Objeto lançado contra veículo;;;1;;;;;;;;1;;;;
03/01/2010;14:59:00;193;com vítima;7;BR-116/SC;Sul;Colisão Transversal;2;;;;;;;;;;1;3;;;
03/01/2010;17:35:00;216;sem vítima;119,0999984741211;BR-116/PR;Norte;Saida de Pista;1;;;;;;;;;;1;;;;
03/01/2010;17:35:00;225;sem vítima;124,0999984741211;BR-116/PR;Norte;Colisão Traseira;3;;;;;;;;;;10;;;;
03/01/2010;12:18:00;177;com vítima;141,6999969482422;BR-116/PR;Norte;Colisão Traseira;1;;;1;;;;;;;2;2;;;
03/01/2010;12:49:00;183;sem vítima;152;BR-116/SC;Norte;Choque - Cancela de Pedagio;1;;;;;;;;;;3;;;;
03/01/2010;15:20:00;198;com vítima;162;BR-116/SC;Norte;Colisão Lateral;2;;;;;;;;;;1;3;3;;
03/01/2010;16:12:00;202;sem vítima;195;BR-116/PR;Sul;Saida de Pista;;;1;;;;;;;;1;;;;
03/01/2010;20:06:00;231;com vítima;253,60000610351562;BR-116/SC;Norte;Saida de Pista;1;;;;;;;;;;0;2;;;
03/01/2010;17:42:00;219;sem vítima;258,8999938964844;BR-116/SC;Sul;Colisão Traseira;1;;;;;;;;;1;10;;;;
04/01/2010;08:45:00;261;com vítima;13,300000190734863;BR-116/SC;Sul;Colisão Traseira;;;1;1;;;;;;;1;1;;;
04/01/2010;10:29:00;270;sem vítima;64,69999694824219;BR-116/SC;Norte;Saida de Pista;1;;;;;;;;;;5;;;;
04/01/2010;15:25:00;289;com vítima;72,5;BR-116/SC;Sul;Tombamento;;1;;;;;;;;;0;1;;;
04/01/2010;19:26:00;318;com vítima;122,30000305175781;BR-116/PR;Sul;Colisão Lateral;2;;1;;;;;;;;2;1;;;
04/01/2010;19:34:00;320;sem vítima;308,5;BR-116/SC;Norte;Saida de Pista;1;;;;;;;;;;3;;;;
05/01/2010;21:57:00;399;com vítima;117,5999984741211;BR-116/PR;Sul;Colisão Frontal;2;;;;;;;;;;3;;3;;
05/01/2010;04:46:00;340;sem vítima;172,8000030517578;BR-116/SC;Sul;Colisão Lateral;;;2;;;;;;;;3;;;;
