data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
04/09/2014;14:26:00;4;com vítima;3;BR-060/DF;Norte;;1;;;;;;;;;;0;1;;;
04/09/2014;20:28:00;16;sem vítima;500;BR-153/GO;Sul;Colisão Traseira;3;;;;;;;;;;3;;;;
04/09/2014;20:44:00;19;com vítima;67;BR-153/MG;Norte;Colisão Traseira;1;;2;;;;;;;;4;;;1;
05/09/2014;02:09:00;4;sem vítima;1;BR-060/GO;Norte;Colisão Frontal;1;;;;;;;;;;1;;;;
05/09/2014;08:45:00;23;sem vítima;492,3;BR-153/GO;Sul;;4;;;;;;;;;;4;;;;
05/09/2014;20:37:00;91;sem vítima;429;BR-262/MG;Leste;;1;;;;;;;;;;1;;;;
05/09/2014;09:10:00;25;sem vítima;60,123;BR-060/GO;Norte;;2;;;;;;;;;;2;;;;
05/09/2014;06:47:00;10;sem vítima;495,6;BR-262/MG;Oeste;Colisão Transversal;;;3;;;;;;;1;4;;;;
05/09/2014;03:46:00;6;sem vítima;527;BR-262/MG;Leste;;;;1;;;;;;;;1;;;;
05/09/2014;16:29:00;59;sem vítima;561;BR-262/MG;Leste;;;;;;;;;;;;0;;;;
05/09/2014;17:04:00;83;com vítima;223,1;BR-153/MG;Norte;;1;;;;;;;;;;1;1;;;
05/09/2014;17:26:00;65;sem vítima;780;BR-262/MG;Leste;;;;;;1;;;;;;1;;;;
05/09/2014;18:11:00;71;sem vítima;240;BR-153/MG;Norte;;1;;;;;;;;;;1;;;;
05/09/2014;06:40:00;9;sem vítima;136;BR-060/GO;Sul;;2;;;;;;;;;;2;;;;
06/09/2014;17:49:00;99;sem vítima;12;BR-060/GO;Norte;;1;;;;;;;;;;1;;;;
06/09/2014;15:16:00;77;com vítima;378;BR-262/MG;Leste;;;;1;1;;;;;;;1;1;;1;
06/09/2014;17:25:00;97;sem vítima;72;BR-060/GO;Sul;;2;;;;;;;;;;2;;;;
06/09/2014;13:50:00;75;com vítima;506,9;BR-153/GO;Sul;Colisão Traseira;2;;;;;;;;;;0;2;;;
06/09/2014;11:28:00;58;sem vítima;527;BR-262/MG;Leste;;;;1;;;;;;;;1;;;;
06/09/2014;18:29:00;103;com vítima;513,3;BR-153/GO;Sul;;;;1;1;;;;;;;1;;;;1
06/09/2014;05:00:00;26;com vítima;583,5;BR-153/GO;Norte;;1;;;;;;;;;;0;;;1;
06/09/2014;01:04:00;12;com vítima;112;BR-060/GO;Sul;Colisão Traseira;1;;;;;;;;;;0;1;;;
06/09/2014;04:45:00;25;sem vítima;611,1;BR-262/MG;Leste;;1;;1;;;;;;;;2;;;;
06/09/2014;20:20:00;22;sem vítima;127,4;BR-060/GO;Norte;Colisão Traseira;2;;;;;;;;;;2;;;;
06/09/2014;00:01:00;1;com vítima;657;BR-153/GO;Sul;Capotamento;1;;;;;;;;;;0;2;;;
07/09/2014;18:45:00;121;sem vítima;368;BR-262/MG;Leste;;1;;;;;;;;;;1;;;;
07/09/2014;15:09:00;97;sem vítima;383;BR-262/MG;Leste;;1;;;;;;;;;;1;;;;
07/09/2014;20:20:00;138;sem vítima;384;BR-262/MG;Leste;;1;;;;;;;;;;1;;;;
07/09/2014;23:12:00;162;sem vítima;500;BR-153/GO;Norte;;3;;;;;;;;;;3;;;;
07/09/2014;16:51:00;110;com vítima;43;BR-060/GO;Norte;Capotamento;;;1;;;;;;;;0;1;;;
07/09/2014;19:40:00;140;sem vítima;440;BR-262/MG;Oeste;;2;;;;;;;;;;2;;;;
07/09/2014;12:50:00;77;sem vítima;58;BR-153/MG;Sul;;;;2;;;;;;;;2;;;;
07/09/2014;17:39:00;117;com vítima;522;BR-153/GO;Norte;Colisão Lateral;2;;;;;;;;;;1;1;;;
07/09/2014;21:47:00;144;sem vítima;580;BR-153/GO;Norte;;1;;;;;;;;;;1;;;;
07/09/2014;23:07:00;158;sem vítima;580;BR-153/GO;Norte;Colisão Frontal;1;;;;;;;;;;1;;;;
07/09/2014;03:38:00;18;com vítima;119;BR-060/GO;Norte;;2;;;;;;;;;;2;1;;;
07/09/2014;17:30:00;146;com vítima;131,2;BR-060/GO;Norte;Colisão Frontal;1;;;;;;;;;;0;1;;;
08/09/2014;08:50:00;51;sem vítima;495;BR-153/GO;Sul;;1;;;;;;;;;;1;;;;
08/09/2014;02:42:00;10;com vítima;23;BR-153/MG;Sul;Tombamento;;;1;;;;;;;;1;1;;;
08/09/2014;17:05:00;136;com vítima;35,8;BR-060/GO;Norte;;;;;1;;;;;;;0;1;;;
08/09/2014;10:01:00;61;sem vítima;49,6;BR-060/GO;Sul;;;;1;;;;;;;;1;;;;
08/09/2014;14:40:00;109;sem vítima;54;BR-060/GO;Norte;;1;;;;;;;;;;1;;;;
08/09/2014;20:58:00;156;sem vítima;86,5;BR-060/GO;Norte;;1;;;;;;;;;;1;;;;
08/09/2014;16:52:00;124;com vítima;508,8;BR-153/GO;Norte;Colisão Frontal;2;;;;;;;;;;0;2;;;
08/09/2014;19:23:00;142;sem vítima;533;BR-262/MG;Leste;;;;;;;;;;;;0;;;;
08/09/2014;08:30:00;65;sem vítima;583,1;BR-153/GO;Norte;;1;;;;;;;;;;1;;;;
08/09/2014;17:00:00;122;sem vítima;630;BR-262/MG;Oeste;;;;;;;;;;;;0;;;;
08/09/2014;00:09:00;2;sem vítima;823;BR-262/MG;Oeste;;1;;;;;;;;;;1;;;;
09/09/2014;09:00:00;72;com vítima;355;BR-262/MG;Leste;Colisão Transversal;;;2;;;;;;;;0;2;;;1
09/09/2014;08:10:00;41;sem vítima;42;BR-060/GO;Sul;;1;;;;;;;;;;1;;;;
