data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
01/01/2010;01:53:00;1;com vítima;111,4;BR-116/RJ;Norte;Queda de moto;;;;1;;;;;;;0;;1;;
02/01/2010;11:10:00;8;com vítima;12,4;BR-116/RJ;Sul;Abalroamento longitudinal;1;;;;;;;;;;0;;;1;
02/01/2010;11:48:00;13;com vítima;94;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;0;;1;;
02/01/2010;13:45:00;18;com vítima;136;BR-116/RJ;Sul;Abalroamento transversal;1;;;1;;;;;;;0;;1;2;
03/01/2010;06:16:00;1;com vítima;88,8;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;0;1;;;
03/01/2010;18:19:00;36;com vítima;143,3;BR-116/RJ;Sul;Colisão traseira;5;;;;;;;;;;5;2;;;
04/01/2010;10:40:00;22;com vítima;76;BR-116/RJ;Sul;Colisão frontal;1;;;1;;;;;;;1;1;;;
04/01/2010;13:21:00;35;com vítima;126,5;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;0;3;;;
05/01/2010;18:29:00;38;com vítima;38,5;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;0;2;;;
05/01/2010;13:15:00;24;com vítima;78,9;BR-116/RJ;Norte;Queda de moto;1;;;;;;;;;;0;;2;;
05/01/2010;20:24:00;44;com vítima;83;BR-116/RJ;Norte;Abalroamento longitudinal;2;;;;;;;;;;1;1;;;
05/01/2010;13:30:00;25;sem vítima;90,4;BR-116/RJ;Sul;Choque em objeto fixo;1;;;;;;;;;;1;;;;
05/01/2010;23:25:00;56;com vítima;106,9;BR-116/RJ;Norte;Colisão traseira;1;;1;;;;;;;;1;1;;;
05/01/2010;14:11:00;26;com vítima;108,1;BR-116/RJ;Norte;Atropel. de pedestre atravessando;;;2;;;;;;;;2;1;;;
06/01/2010;21:00:00;25;sem vítima;131,5;BR-116/RJ;Sul;Atropelamento de animal;1;;;;;;;;;;3;;;;
07/01/2010;18:40:00;37;sem vítima;138,1;BR-116/RJ;Norte;Abalroamento longitudinal;1;;;;1;;;;;;3;;;;
08/01/2010;19:24:00;27;com vítima;35,1;BR-116/RJ;Norte;Derrapagem;1;;;;;;;;;;;1;;;
08/01/2010;20:35:00;29;com vítima;83,6;BR-116/RJ;Norte;Colisão traseira;1;;1;;;;;;;;1;;1;;
08/01/2010;16:53:00;18;com vítima;103,9;BR-116/RJ;Sul;Queda de moto;;;;1;;;;;;;;1;;;
08/01/2010;13:35:00;15;com vítima;122,3;BR-116/RJ;Sul;Abalroamento longitudinal;2;;;;;;;;;;;3;;;
08/01/2010;17:20:00;21;com vítima;125,5;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;;1;;;
08/01/2010;06:40:00;6;sem vítima;143,8;BR-116/RJ;Sul;Colisão traseira;1;;2;;;;;;;;4;;;;
09/01/2010;20:28:00;59;sem vítima;132,5;BR-116/RJ;Sul;Atropelamento de animal;1;;;;;;;;;;7;;;;
09/01/2010;04:32:00;4;sem vítima;143;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;;;
09/01/2010;04:32:00;3;com vítima;144;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
10/01/2010;06:24:00;3;com vítima;25;BR-116/RJ;Sul;Atropel. de pedestre caminhando;1;;;;;;;;;;1;;;1;
10/01/2010;19:15:00;37;com vítima;103,7;BR-116/RJ;Sul;Choque em defensa;;;1;;;;;;;;;1;;1;
10/01/2010;09:34:00;12;com vítima;125,6;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;;1;;;
11/01/2010;23:20:00;57;com vítima;132,2;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;3;;4;;
12/01/2010;22:21:00;44;com vítima;80,3;BR-116/RJ;Sul;Capotamento;1;;;;;;;;;;;2;;;
12/01/2010;03:25:00;5;sem vítima;135;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;;;
13/01/2010;08:55:00;12;sem vítima;66,4;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;;;;;;1;;;;
14/01/2010;14:55:00;23;com vítima;73,65;BR-116/RJ;Sul;Abalroamento transversal;2;;;;;;;;;;;2;;;
14/01/2010;11:50:00;18;sem vítima;129;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;2;;;;
15/01/2010;20:26:00;59;com vítima;14,6;BR-116/RJ;Norte;;1;;;;;;;;;;;1;;;
15/01/2010;14:53:00;32;com vítima;106,2;BR-116/RJ;Sul;Colisão traseira;2;;;;;;;;;;;;2;;
15/01/2010;07:02:00;4;com vítima;137,09;BR-116/RJ;Sul;Colisão traseira;;;1;;1;;;;;;8;;16;;
15/01/2010;11:31:00;21;sem vítima;138,2;BR-116/RJ;Sul;Colisão traseira;;;1;;1;;;;;;18;;;;
15/01/2010;08:23:00;9;com vítima;138,3;BR-116/RJ;Sul;Colisão traseira;;;;;2;;;;;;20;10;6;;
15/01/2010;05:58:00;3;com vítima;139,5;BR-116/RJ;Norte;Colisão traseira;;;1;;1;;;;;;55;2;;;
15/01/2010;07:22:00;5;sem vítima;141,2;BR-116/RJ;Norte;Colisão traseira;1;;1;;;;;;;;2;;;;
16/01/2010;19:49:00;38;com vítima;80;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
16/01/2010;19:49:00;38;com vítima;80;BR-116/RJ;Sul;Derrapagem;1;;;;;;;;;;;1;;;
16/01/2010;09:31:00;13;sem vítima;140;BR-116/RJ;Norte;Colisão traseira;2;;;;;;;;;;3;;;;
