data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
01/06/2015;13:02:00;61;com vítima;327;BR-101/RJ;Sul;Colisão - Traseira;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0
01/06/2015;12:04:00;52;com vítima;334;BR-101/RJ;Norte;Choque com objeto sobre a pista;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
02/06/2015;07:21:00;17;com vítima;325;BR-101/RJ;Sul;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
02/06/2015;19:04:00;82;sem vítima;328;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
04/06/2015;17:41:00;64;sem vítima;322;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
04/06/2015;06:09:00;8;com vítima;334;BR-101/RJ;Sul;Colisão - Traseira;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
05/06/2015;16:41:00;68;sem vítima;323;BR-101/RJ;Norte;Colisão - Lateral;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
06/06/2015;22:32:00;74;sem vítima;321;BR-101/RJ;Norte;Colisão - Lateral;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0
06/06/2015;07:24:00;12;sem vítima;322;BR-101/RJ;Norte;Colisão - Traseira;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
06/06/2015;14:17:00;47;sem vítima;322;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
07/06/2015;11:26:00;26;sem vítima;327;BR-101/RJ;Sul;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
07/06/2015;01:39:00;4;com vítima;328;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0
07/06/2015;17:45:00;61;sem vítima;332;BR-101/RJ;Sul;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
08/06/2015;07:55:00;27;com vítima;321;BR-101/RJ;Sul;Colisão - Traseira;3;0;0;0;0;0;0;0;0;0;2;1;0;0;0
08/06/2015;19:11:00;109;sem vítima;321;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
08/06/2015;20:25:00;115;sem vítima;322;BR-101/RJ;Norte;Engavetamento;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
08/06/2015;10:30:00;47;sem vítima;329;BR-101/RJ;Sul;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
10/06/2015;17:47:00;73;com vítima;325;BR-101/RJ;Norte;Colisão - Traseira;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
12/06/2015;08:12:00;19;sem vítima;322;BR-101/RJ;Norte;Colisão - Lateral;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
12/06/2015;05:59:00;10;sem vítima;327;BR-101/RJ;Sul;Engavetamento;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
13/06/2015;13:46:00;48;com vítima;323;BR-101/RJ;Norte;Colisão - Traseira;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
13/06/2015;15:00:00;57;sem vítima;324;BR-101/RJ;Sul;Colisão - Traseira;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
13/06/2015;16:24:00;63;sem vítima;324;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
14/06/2015;14:07:00;52;sem vítima;322;BR-101/RJ;Norte;Colisão - Traseira;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
14/06/2015;18:12:00;87;sem vítima;323;BR-101/RJ;Norte;Colisão - Traseira;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
