data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
02/09/2020;20:53:14;280;ac02 - Acidente com vítima;102;BR-364/GO;Leste;Colisão lateral no sentido contrário;2;;;;;;;;;;2;;1;;
03/09/2020;08:12:47;65;ac02 - Acidente com vítima;751;BR-365/MG;Leste;Choque - Defensa metálica;;;1;1;;;;;;;1;1;;;
03/09/2020;18:47:13;235;ac02 - Acidente com vítima;836;BR-365/MG;Oeste;Atropelamento de Animal;;;;1;;;;;;;0;1;1;;
04/09/2020;10:49:00;121;ac03 - Acidente com vítima ilesa;653;BR-365/MG;Leste;Colisão Traseira;2;;;;;;;;;;1;;;;
06/09/2020;02:05:39;12;ac02 - Acidente com vítima;820;BR-365/MG;Oeste;Capotamento;1;;;;;;;;;;0;2;1;;
07/09/2020;11:37:39;86;ac03 - Acidente com vítima ilesa;764;BR-365/MG;Leste;Choque - Talude;;;;;;;;;;1;2;;;;
07/09/2020;18:36:22;200;ac02 - Acidente com vítima;116,5;BR-364/GO;Oeste;Queda de Moto;;;;1;;;;;;;0;;2;;
09/09/2020;07:19:43;37;ac02 - Acidente com vítima;658;BR-365/MG;Leste;Queda de Moto;;;;1;;;;;;;0;2;;;
10/09/2020;22:32:13;267;ac03 - Acidente com vítima ilesa;706,499;BR-365/MG;Leste;Tombamento;;;1;;;;;;;;1;;;;
11/09/2020;16:59:54;201;ac02 - Acidente com vítima;66;BR-364/GO;Leste;Capotamento;;;;;;;;;;1;0;;2;;
12/09/2020;11:11:40;126;ac03 - Acidente com vítima ilesa;647;BR-365/MG;Leste;Colisão lateral no mesmo sentido;1;;1;;;;;;;;2;;;;
12/09/2020;21:37:44;280;ac02 - Acidente com vítima;664,9;BR-365/MG;Leste;Choque - Poste;1;;;;;;;;;;0;2;1;;
14/09/2020;06:08:43;40;ac02 - Acidente com vítima;105;BR-364/GO;Oeste;Capotamento;1;;;;;;;;;;0;1;;;
16/09/2020;04:12:49;29;ac02 - Acidente com vítima;646;BR-365/MG;Oeste;Tombamento;;;1;;;1;;;;;0;1;;;
16/09/2020;18:51:18;272;ac02 - Acidente com vítima;765;BR-365/MG;Leste;Colisão Frontal;;;;;;;;;;2;0;1;1;;
17/09/2020;14:23:22;180;ac02 - Acidente com vítima;646;BR-365/MG;Oeste;Atropelamento - Sem Informação;;;1;;;;;;;;0;;;1;
17/09/2020;19:45:29;278;ac02 - Acidente com vítima;627;BR-365/MG;Leste;Colisão lateral no mesmo sentido;1;;1;;;;;;;;1;1;;;
18/09/2020;01:48:34;14;ac02 - Acidente com vítima;714,3;BR-365/MG;Oeste;Capotamento;;;;;;;;;;1;1;2;1;;
18/09/2020;10:52:00;126;ac03 - Acidente com vítima ilesa;756;BR-365/MG;Leste;Tombamento;;;1;;;;;;;;1;;;;
18/09/2020;23:01:20;335;ac03 - Acidente com vítima ilesa;645,6;BR-365/MG;Leste;Choque - Sinalização;1;;;;;;;;;;5;;;;
20/09/2020;05:01:32;25;ac03 - Acidente com vítima ilesa;17,4;BR-364/GO;Oeste;Colisão Traseira;1;;;;;;;;;;0;;;;
20/09/2020;13:28:26;145;ac02 - Acidente com vítima;867;BR-365/MG;Oeste;Queda de Moto;;;;1;;;;;;;0;;2;;
21/09/2020;08:58:24;85;ac03 - Acidente com vítima ilesa;796;BR-365/MG;Leste;Colisão Traseira;;;;;;;;;;2;2;;;;
21/09/2020;09:04:48;87;ac02 - Acidente com vítima;654;BR-365/MG;Oeste;Capotamento;1;;;;;;;;;;3;1;;;
21/09/2020;10:34:11;113;ac02 - Acidente com vítima;846;BR-365/MG;Leste;Queda de Moto;;;;1;;;;;;;0;1;;;
21/09/2020;11:28:14;130;ac03 - Acidente com vítima ilesa;705,8;BR-365/MG;Oeste;Saida de Pista;1;;;;;;;;;;1;;;;
21/09/2020;13:01:09;151;ac02 - Acidente com vítima;643;BR-365/MG;Leste;Capotamento;1;;;;;;;;;;0;2;1;;
21/09/2020;13:05:50;154;ac02 - Acidente com vítima;643;BR-365/MG;Leste;Atropelamento - Pedestre;1;;;;;;;;;;0;1;;2;
21/09/2020;14:27:32;178;ac03 - Acidente com vítima ilesa;171;BR-364/GO;Leste;Saida de Pista;;;1;;;;;;;;1;;;;
21/09/2020;14:41:16;181;ac03 - Acidente com vítima ilesa;652,5;BR-365/MG;Leste;Choque - Outros;;;1;;;;;;;;1;;;;
21/09/2020;20:30:02;272;ac03 - Acidente com vítima ilesa;706;BR-365/MG;Leste;Colisão lateral no mesmo sentido;1;;;;;;;;;1;5;;;;
21/09/2020;23:27:41;302;ac02 - Acidente com vítima;856;BR-365/MG;Oeste;Colisão Traseira;2;;;;;;;;;;1;1;;;
24/09/2020;13:41:12;196;ac02 - Acidente com vítima;752;BR-365/MG;Leste;Choque - Poste;1;;;;;;;;;;0;1;;;
25/09/2020;13:32:54;164;ac03 - Acidente com vítima ilesa;861;BR-365/MG;Leste;Capotamento;;;;;;;;;;1;1;;;;
25/09/2020;21:56:24;296;ac03 - Acidente com vítima ilesa;114;BR-364/GO;Leste;Colisão lateral no mesmo sentido;1;;;;;;;;;1;7;;;;
26/09/2020;22:24:22;310;ac03 - Acidente com vítima ilesa;756;BR-365/MG;Leste;Choque - Talude;1;;;;;;;;;;1;;;;
26/09/2020;23:23:45;320;ac03 - Acidente com vítima ilesa;37,7;BR-364/GO;Oeste;Atropelamento de Animal;1;;;;;;;;;;4;;;;
27/09/2020;00:00:07;1;ac03 - Acidente com vítima ilesa;756;BR-365/MG;Oeste;Choque - Elemento de Drenagem;1;;;;;;;;;;5;;;;
27/09/2020;11:16:01;108;ac03 - Acidente com vítima ilesa;629,5;BR-365/MG;Oeste;Choque - Meio fio;1;;;;;;;;;;1;;;;
28/09/2020;17:56:55;254;ac03 - Acidente com vítima ilesa;765,98;BR-365/MG;Oeste;Choque - Meio fio;;;1;;;;;;;;2;;;;
29/09/2020;16:16:56;225;ac03 - Acidente com vítima ilesa;676,17;BR-365/MG;Oeste;Choque - Elemento de Drenagem;;;1;;;;;;;;1;;;;
01/10/2020;08:28:47;72;ac02 - Acidente com vítima;685,2;BR-365/MG;Leste;Tombamento;;;1;;;;;;;;0;;1;;
01/10/2020;15:50:04;183;ac02 - Acidente com vítima;682;BR-365/MG;Leste;Tombamento;;;1;;;;;;;;0;;;1;
02/10/2020;08:51:19;102;ac03 - Acidente com vítima ilesa;682;BR-365/MG;Oeste;Colisão Traseira;1;;;;;;;;;1;4;;;;
02/10/2020;15:50:15;247;ac03 - Acidente com vítima ilesa;704,6;BR-365/MG;Leste;Colisão Traseira;1;;1;;;;;;;;4;;;;
02/10/2020;17:44:47;288;ac03 - Acidente com vítima ilesa;647,7;BR-365/MG;Leste;Choque - Cancela de Pedagio;;;1;;;;;;;;1;;;;
03/10/2020;06:04:12;50;ac03 - Acidente com vítima ilesa;633;BR-365/MG;Leste;Colisão lateral no mesmo sentido;;;1;;;;;;;1;3;;;;
03/10/2020;12:21:39;129;ac02 - Acidente com vítima;737;BR-365/MG;Oeste;Colisão Traseira;1;;;1;;;;;;;1;2;;;
03/10/2020;17:13:24;216;ac02 - Acidente com vítima;711;BR-365/MG;Oeste;Choque - Sinalização;1;;;;;;;;;;0;1;;;
03/10/2020;17:33:33;219;ac02 - Acidente com vítima;65;BR-364/GO;Leste;Capotamento;1;;;;;;;;;;0;2;;;
04/10/2020;07:35:36;42;ac02 - Acidente com vítima;756;BR-365/MG;Leste;Choque - Meio fio;;;;1;;;;;;;0;1;;;
