data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
22/10/2014;21:45:00;130;Acidente sem Vítima;2;BR-040/GO;Sul;Outros;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22/10/2014;00:42:00;5;Acidente com Vítima;438,8;BR-040/MG;Sul;Choque com objeto fixo;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
22/10/2014;20:33:00;122;Acidente com Vítima;446;BR-040/MG;Sul;Colisão traseira;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0
22/10/2014;16:33:00;91;Acidente com Vítima;481;BR-040/MG;Sul;Capotamento;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
22/10/2014;07:35:00;33;Acidente sem Vítima;511,1;BR-040/MG;Sul;Outros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/10/2014;15:57:00;87;Acidente sem Vítima;513;BR-040/MG;Sul;Outros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/10/2014;00:14:00;3;Acidente sem Vítima;535;BR-040/MG;Norte;Colisão traseira;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
22/10/2014;10:18:00;50;Acidente sem Vítima;581,5;BR-040/MG;Norte;Colisão traseira;1;0;1;0;0;0;0;0;0;0;19;0;0;0;0
22/10/2014;00:10:00;2;Acidente sem Vítima;83;BR-040/GO;Norte;Colisão traseira;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
23/10/2014;17:19:00;103;Acidente sem Vítima;1;BR-040/DF;Norte;Colisão traseira;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0
23/10/2014;17:13:00;101;Acidente sem Vítima;60;BR-040/MG;Norte;Capotamento;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23/10/2014;07:08:00;26;Acidente com Vítima;328;BR-040/MG;Sul;Colisão traseira;1;0;1;0;0;0;0;0;0;0;2;1;0;0;0
23/10/2014;17:29:00;105;Acidente sem Vítima;503;BR-040/MG;Sul;Outros;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
23/10/2014;20:07:00;125;Acidente com Vítima;513;BR-040/MG;Norte;Outros;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
23/10/2014;19:23:00;119;Acidente com Vítima;616;BR-040/MG;Sul;Colisão frontal;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
23/10/2014;16:05:00;91;Acidente sem Vítima;60;BR-040/GO;Norte;Capotamento;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
23/10/2014;09:25:00;41;Acidente com Morte;670,1;BR-040/MG;Norte;Abalroamento - Longitudinal;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1
23/10/2014;08:12:00;33;Acidente com Vítima;737;BR-040/MG;Sul;Queda de Carga;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
24/10/2014;11:43:00;50;Acidente sem Vítima;7;BR-040/MG;Sul;Abalroamento - Longitudinal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24/10/2014;18:02:00;92;Acidente sem Vítima;39;BR-040/MG;Norte;Outros;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24/10/2014;16:36:00;79;Acidente com Vítima;388;BR-040/MG;Sul;Outros;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
24/10/2014;02:47:00;7;Acidente com Vítima;427;BR-040/MG;Sul;Queda de Carga;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
24/10/2014;14:12:00;66;Acidente com Vítima;538,005;BR-040/MG;Norte;Colisão traseira;4;0;3;0;0;0;0;0;0;1;7;0;1;0;0
24/10/2014;20:47:00;119;Acidente com Vítima;619;BR-040/MG;Norte;Abalroamento - Longitudinal;1;0;2;0;0;0;0;0;0;0;5;0;0;0;0
