concessionaria;ano_do_pnv_snv;rodovia_uf;sentido;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Crescente;2,094;-19,979549;-19,983535;2,760;-44,160989;-44,165584
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Decrescente;1,915;-19,977906;-19,983530;2,759;-44,160138;-44,165576
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;264,635;-22,715662;-22,711105;265,345;-42,641529;-42,646443
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;265,415;-22,710827;-22,716240;264,570;-42,647130;-42,641219
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;273,585;-22,733601;-22,736205;274,900;-42,716113;-42,728324
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;274,775;-22,736239;-22,733457;273,500;-42,727057;-42,715195
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;293,045;-22,754607;-22,770648;297,450;-42,890508;-42,922037
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;296,130;-22,767204;-22,763867;295,000;-42,913047;-42,902467
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;313,855;-22,814868;-22,808951;312,825;-43,075367;-43,067276
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;320,270;-22,859919;-22,849530;318,665;-43,106355;-43,099771
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;0,900;-25,988864;-25,996493;1,900;-48,883674;-48,879107
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;19,400;-26,136346;-26,142571;20,200;-48,899366;-48,904829
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;22,450;-26,161051;-26,169438;23,410;-48,907537;-48,907350
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;24,150;-26,176108;-26,189610;25,700;-48,908068;-48,911871
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;26,800;-26,199676;-26,205811;27,500;-48,912914;-48,914586
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;29,900;-26,227082;-26,234600;30,700;-48,916660;-48,916163
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;35,300;-26,270358;-26,286042;37,200;-48,895147;-48,887525
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;37,700;-26,290073;-26,327498;42,400;-48,885377;-48,864669
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;42,480;-26,327290;-26,331669;43,040;-48,864499;-48,862028
