concessionaria;ano_do_pnv_snv;rodovia_uf;sentido;subtipo_de_pista;numero_de_faixas;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Crescente;Dupla;2;0,000;-19,961277;-19,991458;7,400;-44,155936;-44,207061
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Decrescente;Dupla;2;7,400;-19,992136;-19,961859;0,000;-44,206809;-44,155712
AUTOPISTA FERNÃO DIAS;2007;Alça 1/SP;Decrescente;Simples;1;68,150;-23,343481;-23,336109;67,500;-46,572560;-46,575398
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;0,000;-21,222705;-21,507641;34,925;-41,309549;-41,337063
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;34,926;-21,507641;-21,519027;36,265;-41,337063;-41,334100
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;36,266;-21,519027;-21,821190;84,600;-41,334100;-41,475654
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;84,601;-21,821190;-22,217086;144,600;-41,475654;-41,757511
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;144,601;-22,217086;-22,464814;190,300;-41,757511;-42,068087
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;190,301;-22,464814;-22,475474;205,090;-42,068087;-42,189493
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;205,091;-22,475474;-22,481995;208,800;-42,189493;-42,224202
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;208,801;-22,481995;-22,504532;215,065;-42,224202;-42,272413
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;215,066;-22,504532;-22,506773;217,975;-42,272413;-42,298027
