concessionaria;ano_do_pnv_snv;tipo_de_radar;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude;velocidade_leve;velocidade_pesado
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;58,805;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,713412;-41,308561;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;55,389;Campos dos Goytacazes;Principal;Crescente;Ativo;;-21,681822;-41,310949;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;55,520;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,683290;-41,310890;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;184,600;Casimiro de Abreu;Principal;Crescente;Ativo;;-22,429729;-42,031134;80;80
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;282,560;Itaboraí;Principal;Crescente;Ativo;;-22,735698;-42,801862;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;283,310;Itaboraí;Principal;Decrescente;Ativo;;-22,738801;-42,806988;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;293,500;Itaboraí;Principal;Crescente;Ativo;;-22,755539;-42,888149;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;293,700;Itaboraí;Principal;Decrescente;Ativo;;-22,755202;-42,890633;60;60
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;298,300;Itaboraí;Principal;Crescente;Ativo;;-22,772149;-42,933291;100;80
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;298,650;Itaboraí;Principal;Decrescente;Ativo;;-22,773498;-42,935548;100;80
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;313,000;São Gonçalo;Principal;Decrescente;Ativo;;-22,809907;-43,068761;100;80
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;314,400;São Gonçalo;Principal;Crescente;Ativo;;-22,817695;-43,079165;100;80
AUTOPISTA FLUMINENSE;2019;Controlador;BR-101;RJ;316,400;São Gonçalo;Principal;Crescente;Ativo;;-22,830783;-43,093638;100;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;48,770;Joinville;Principal;Crescente;Ativo;;-26,380200;-48,851600;80;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;50,510;Joinville;Principal;Decrescente;Ativo;;-26,390350;-48,839967;80;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;140,480;Balneário Camboriú;Principal;Decrescente;Ativo;;-27,042947;-48,599675;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;114,800;Itajaí;Marginal;Crescente;Ativo;;-26,869883;-48,729797;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;114,900;Itajaí;Marginal;Crescente;Ativo;;-26,883453;-48,724089;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;116,500;Itajaí;Marginal;Crescente;Ativo;;-27,511425;-48,642764;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;196,050;Biguaçu;Marginal;Decrescente;Ativo;;-27,512006;-48,642081;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;196,150;Biguaçu;Marginal;Crescente;Ativo;;-27,532914;-48,630986;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;198,800;São José;Marginal;Crescente;Ativo;;-27,558233;-48,618350;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;203,850;São José;Marginal;Crescente;Ativo;;-27,572569;-48,613778;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,250;São José;Marginal;Decrescente;Ativo;;-27,576306;-48,613381;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,750;São José;Marginal;Decrescente;Ativo;;-27,580361;-48,614436;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;204,770;São José;Marginal;Decrescente;Ativo;;-27,580619;-48,614444;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;208,000;São José;Marginal;Decrescente;Ativo;;-27,603294;-48,631939;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;209,000;São José;Marginal;Decrescente;Ativo;;-27,610039;-48,638892;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;209,900;São José;Marginal;Decrescente;Ativo;;-27,616022;-48,644975;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;210,700;São José;Marginal;Crescente;Ativo;;-27,621294;-48,650333;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;212,300;Palhoça;Marginal;Crescente;Ativo;;-27,632003;-48,661075;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;212,350;Palhoça;Marginal;Crescente;Ativo;;-27,632314;-48,661422;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,290;Palhoça;Marginal;Crescente;Ativo;;-27,639242;-48,666750;40;40
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,660;Palhoça;Marginal;Crescente;Ativo;;-27,642081;-48,668847;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;213,850;Palhoça;Marginal;Crescente;Ativo;;-27,643475;-48,669875;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;214,900;Palhoça;Marginal;Crescente;Ativo;;-27,651111;-48,675542;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;215,550;Palhoça;Marginal;Decrescente;Ativo;;-27,656133;-48,678472;60;60
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;141,460;Balneário Camboriú;Principal;Crescente;Ativo;;-27,051844;-48,600036;80;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;175,200;Governador Celso Ramos;Principal;Decrescente;Ativo;;-27,340886;-48,627872;80;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;233,600;Palhoça;Principal;Crescente;Ativo;;-27,807475;-48,638678;80;80
AUTOPISTA LITORAL SUL;2009;Redutor;BR-101;SC;233,750;Palhoça;Principal;Decrescente;Ativo;;-27,808489;-48,638497;80;80
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;PR;120,600;Curitiba;Principal;Decrescente;Ativo;;-25,590973;-49,315223;80;80
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;PR;121,180;Curitiba;Principal;Crescente;Ativo;;-25,354624;-49,185973;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;PR;128,900;Fazenda Rio Grande;Principal;Crescente;Ativo;;-25,663718;-49,313801;80;80
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;PR;206,075;Rio Negro;Principal;Crescente;Ativo;;-26,073977;-49,756342;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;PR;206,900;Rio Negro;Principal;Decrescente;Ativo;;-26,075329;-49,762117;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;53,299;Papanduva;Principal;Crescente;Ativo;;-26,393820;-50,157065;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;69,437;Monte Castelo;Principal;Decrescente;Ativo;;-26,464043;-50,229769;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;105,280;Monte Castelo;Principal;Decrescente;Ativo;;-26,752943;-50,316985;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;117,320;Santa Cecília;Principal;Crescente;Ativo;;-26,818408;-50,350940;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;117,850;Santa Cecília;Principal;Decrescente;Ativo;;-26,821071;-50,353813;60;60
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;172,500;Ponte Alta do Norte;Principal;Crescente;Ativo;;-27,214086;-50,465692;80;80
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;173,150;São Cristovão do Sul;Principal;Decrescente;Ativo;;-27,218833;-50,464637;80;80
AUTOPISTA PLANALTO SUL;2017;Controlador;BR-116;SC;308,420;Capão Alto;Principal;Crescente;Ativo;;-28,198208;-50,755753;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;299,800;São Lourenço da Serra;Principal;Crescente;Ativo;;-23,793677;-46,915330;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;305,100;São Lourenço da Serra;Principal;Crescente;Ativo;;-23,837860;-46,930824;80;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;511,400;Cajati;Principal;Decrescente;Ativo;;-24,845450;-48,212248;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;514,700;Cajati;Principal;Decrescente;Ativo;;-24,864790;-48,211446;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;546,000;Barra do Turvo;Principal;Decrescente;Ativo;;-24,965893;-48,434310;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;548,370;Barra do Turvo;Principal;Crescente;Ativo;;-24,953740;-48,448019;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;550,700;Barra do Turvo;Principal;Decrescente;Ativo;;-24,967140;-48,471856;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;559,950;Barra do Turvo;Principal;Crescente;Ativo;;-25,015236;-48,509448;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;567,800;Barra do Turvo;Principal;Crescente;Ativo;;-25,056695;-48,555453;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;PR;28,800;Campina Grande do Sul;Principal;Decrescente;Ativo;;-25,110959;-48,808223;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;PR;33,600;Campina Grande do Sul;Principal;Decrescente;Ativo;;-25,114937;-48,849413;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;PR;40,050;Campina Grande do Sul;Principal;Crescente;Ativo;;-25,167022;-48,865032;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;351,780;Miracatu;Principal;Crescente;Ativo;;-24,064698;-47,233601;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;356,500;Miracatu;Principal;Crescente;Ativo;;-24,095474;-47,256386;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;357,500;Miracatu;Principal;Crescente;Ativo;;-24,102768;-47,258911;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;360,040;Miracatu;Principal;Crescente;Ativo;;-24,113081;-47,268627;60;60
AUTOPISTA REGIS BITTENCOURT;2017;Controlador;BR-116;SP;361,520;Miracatu;Principal;Crescente;Ativo;;-24,121953;-47,270639;60;60
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;259,700;Paulo Lopes;Principal;Crescente;Ativo;;-28,020139;-48,698833;80;80
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;264,600;Garopaba;Principal;Decrescente;Ativo;;-28,059667;-48,716944;110;90
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;255,600;Paulo Lopes;Principal;Decrescente;Ativo;;-27,990306;-48,680028;80;80
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;252,400;Paulo Lopes;Principal;Decrescente;Ativo;;-27,961722;-48,679278;110;90
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;275,900;Imbituba;Principal;Crescente;Ativo;;-28,157222;-48,692972;110;90
CATARINENSE HOLDING;2020;Controlador;BR-101;SC;277,300;Imbituba;Principal;Crescente;Ativo;;-28,170194;-48,694306;110;90
