concessionaria;ano_do_pnv_snv;rodovia_uf;tipo_pista;sentido;tipo_perfil_de_terreno;km_m_inicial;latitude_inicial;longitude_inicial;latitude_final;km_m_final;longitude_final
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,112;-19,962523;-44,157044;-19,962813;0,161;-44,157272
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,162;-19,962813;-44,157272;-19,963102;0,191;-44,157501
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,192;-19,963102;-44,157501;-19,963682;0,281;-44,157957
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,282;-19,963682;-44,157957;-19,963828;0,291;-44,158070
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,292;-19,963828;-44,158070;-19,964427;0,384;-44,158498
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,385;-19,964427;-44,158498;-19,964581;0,395;-44,158598
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,396;-19,964581;-44,158598;-19,965541;0,512;-44,159129
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;0,513;-19,965541;-44,159129;-19,966552;0,630;-44,159543
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,631;-19,966552;-44,159543;-19,969031;0,919;-44,160048
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,920;-19,969031;-44,160048;-19,969569;0,971;-44,160113
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;0,972;-19,969569;-44,160113;-19,970647;1,101;-44,160241
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,102;-19,970647;-44,160241;-19,970826;1,114;-44,160263
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,115;-19,970826;-44,160263;-19,971186;1,167;-44,160306
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;1,168;-19,971186;-44,160306;-19,971904;1,234;-44,160392
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;1,235;-19,971904;-44,160392;-19,973315;1,410;-44,160545
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;1,411;-19,973315;-44,160545;-19,984510;2,939;-44,167013
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;2,940;-19,984510;-44,167013;-19,985287;3,087;-44,168069
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,088;-19,985287;-44,168069;-19,986501;3,401;-44,170936
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,402;-19,986501;-44,170936;-19,986543;3,514;-44,172082
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;3,515;-19,986543;-44,172082;-19,986599;3,684;-44,173610
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;3,685;-19,986599;-44,173610;-19,986773;4,183;-44,178386
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,184;-19,986773;-44,178386;-19,986787;4,223;-44,178768
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,224;-19,986787;-44,178768;-19,986843;4,386;-44,180296
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;4,387;-19,986843;-44,180296;-19,986885;4,497;-44,181442
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;4,498;-19,986885;-44,181442;-19,987255;4,813;-44,184578
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;4,814;-19,987255;-44,184578;-19,987307;4,845;-44,184761
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,846;-19,987307;-44,184761;-19,987738;4,955;-44,185813
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;4,956;-19,987738;-44,185813;-19,987816;4,978;-44,185986
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;4,979;-19,987816;-44,185986;-19,988049;5,030;-44,186503
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Montanhoso;5,031;-19,988049;-44,186503;-19,989393;5,426;-44,189493
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Plano;5,427;-19,989393;-44,189493;-19,989592;5,867;-44,193600
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Principal;Crescente;Perfil Ondulado;5,868;-19,989592;-44,193600;-19,989535;5,881;-44,193782
